"w_idx","islandName","baseDate","baseTime","fcstDate","fcstTime","POP","PTY","PCP","REH","SNO","SKY","TMP","TMN","TMX","UUU","VVV","WAV","VEC","WSD","insertDttm"
"6560","진도 금호도","20240925","1100","20240925","1200","0","0","강수없음","65","적설없음","1","27","","","-2.1","-0.7","0","72","2.3","2024-09-25 11:00:01"
"6561","목포 외달도","20240925","1100","20240925","1200","0","0","강수없음","65","적설없음","1","28","","","-2.3","0","0","90","2.4","2024-09-25 11:00:01"
"6562","여수 송도","20240925","1100","20240925","1200","20","0","강수없음","70","적설없음","3","28","","","-6.5","-2.9","0.5","66","7.2","2024-09-25 11:00:01"
"6563","신안 옥도","20240925","1100","20240925","1200","0","0","강수없음","65","적설없음","1","28","","","-0.5","-1.6","0.5","21","1.7","2024-09-25 11:00:01"
"6564","신안 기점소악도","20240925","1100","20240925","1200","0","0","강수없음","65","적설없음","1","28","","","-2","-0.8","0.5","69","2.2","2024-09-25 11:00:01"
"6565","보성 장도","20240925","1100","20240925","1200","20","0","강수없음","65","적설없음","3","28","","","-3","-0.4","0","83","3.1","2024-09-25 11:00:01"
"6566","신안 선도","20240925","1100","20240925","1200","0","0","강수없음","60","적설없음","1","27","","","-2.2","-0.8","0.5","71","2.4","2024-09-25 11:00:01"
"6567","무안 탄도","20240925","1100","20240925","1200","0","0","강수없음","60","적설없음","1","28","","","-2.3","-0.4","0","81","2.4","2024-09-25 11:00:01"
"6568","신안 고이도","20240925","1100","20240925","1200","0","0","강수없음","65","적설없음","1","28","","","-1.7","-0.3","0.5","81","1.8","2024-09-25 11:00:01"
"6569","여수 연도","20240925","1100","20240925","1200","20","0","강수없음","65","적설없음","3","27","","","-6.3","-2.3","0.5","70","6.8","2024-09-25 11:00:01"
"6570","완도 생일도","20240925","1100","20240925","1200","20","0","강수없음","70","적설없음","3","26","","","-7.3","-2.7","0.5","70","7.9","2024-09-25 11:00:01"
"6571","완도 소안도","20240925","1100","20240925","1200","0","0","강수없음","75","적설없음","1","27","","","-7.2","-2.4","0.5","72","7.7","2024-09-25 11:00:01"
"6572","진도 관매도","20240925","1100","20240925","1200","0","0","강수없음","75","적설없음","1","26","","","-3.3","-1.3","0.5","69","3.6","2024-09-25 11:00:01"
"6573","진도 대마도","20240925","1100","20240925","1200","0","0","강수없음","75","적설없음","1","26","","","-3.3","-1.3","0.5","69","3.6","2024-09-25 11:00:01"
"6574","여수 대횡간도","20240925","1100","20240925","1200","20","0","강수없음","65","적설없음","3","27","","","-6.3","-2.3","0.5","70","6.8","2024-09-25 11:00:01"
"6575","완도 금당도","20240925","1100","20240925","1200","20","0","강수없음","70","적설없음","3","27","","","-7","-2.3","0.5","72","7.5","2024-09-25 11:00:01"
"6576","완도 여서도","20240925","1100","20240925","1200","0","0","강수없음","70","적설없음","1","26","","","-7.4","-2.9","0.5","69","8","2024-09-25 11:00:01"
"6577","영광 안마도","20240925","1100","20240925","1200","0","0","강수없음","60","적설없음","1","27","","","-2.4","-0.5","0.5","79","2.5","2024-09-25 11:00:01"
"6578","신안 우이도","20240925","1100","20240925","1200","0","0","강수없음","65","적설없음","1","27","","","-1.1","-1.2","0.5","45","1.7","2024-09-25 11:00:01"
"6579","여수 손죽도","20240925","1100","20240925","1200","20","0","강수없음","70","적설없음","3","27","","","-5.6","-2","0.5","71","6","2024-09-25 11:00:01"
"6580","신안 반월박지도","20240925","1400","20240925","1500","0","0","강수없음","60","적설없음","1","28","","","2.3","-3.3","0.5","325","4","2024-09-25 14:00:02"
"6581","고흥 연홍도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","28","","","-5.7","-0.7","0.5","83","5.8","2024-09-25 14:00:02"
"6582","강진 가우도","20240925","1400","20240925","1500","0","0","강수없음","65","적설없음","1","29","","","-3","0.5","0","99","3.1","2024-09-25 14:00:02"
"6583","여수 낭도","20240925","1400","20240925","1500","60","1","1mm 미만","65","적설없음","4","28","","","-5.9","-1.6","0.5","75","6.2","2024-09-25 14:00:02"
"6584","진도 금호도","20240925","1400","20240925","1500","20","0","강수없음","65","적설없음","3","28","","","-1.3","0.3","0","102","1.4","2024-09-25 14:00:02"
"6585","목포 외달도","20240925","1400","20240925","1500","0","0","강수없음","65","적설없음","1","29","","","-2","0.7","0","108","2.2","2024-09-25 14:00:02"
"6586","여수 송도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","28","","","-5.9","-1.7","0.5","74","6.2","2024-09-25 14:00:02"
"6587","신안 옥도","20240925","1400","20240925","1500","20","0","강수없음","65","적설없음","3","28","","","2.2","-3.3","0.5","326","4","2024-09-25 14:00:02"
"6588","신안 기점소악도","20240925","1400","20240925","1500","0","0","강수없음","60","적설없음","1","28","","","0.6","-3.5","0.5","350","3.6","2024-09-25 14:00:02"
"6589","보성 장도","20240925","1400","20240925","1500","20","0","강수없음","65","적설없음","3","29","","","-2.9","0.7","0","103","3.1","2024-09-25 14:00:02"
"6590","신안 선도","20240925","1400","20240925","1500","0","0","강수없음","60","적설없음","1","28","","","0.4","-3.4","0.5","353","3.4","2024-09-25 14:00:02"
"6591","무안 탄도","20240925","1400","20240925","1500","20","0","강수없음","55","적설없음","3","29","","","-0.8","-1.4","0","33","1.7","2024-09-25 14:00:02"
"6592","신안 고이도","20240925","1400","20240925","1500","0","0","강수없음","60","적설없음","1","29","","","0","-1.4","0.5","360","1.4","2024-09-25 14:00:02"
"6593","여수 연도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","27","","","-5.7","-1.8","0.5","73","6.1","2024-09-25 14:00:02"
"6594","완도 생일도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","26","","","-5.8","-1.5","0.5","76","6.1","2024-09-25 14:00:02"
"6595","완도 소안도","20240925","1400","20240925","1500","0","0","강수없음","75","적설없음","1","27","","","-6.1","-1.4","0.5","77","6.4","2024-09-25 14:00:02"
"6596","진도 관매도","20240925","1400","20240925","1500","0","0","강수없음","75","적설없음","1","26","","","-2.2","-0.5","0.5","78","2.4","2024-09-25 14:00:02"
"6597","진도 대마도","20240925","1400","20240925","1500","0","0","강수없음","75","적설없음","1","26","","","-2.2","-0.5","0.5","78","2.4","2024-09-25 14:00:02"
"6598","여수 대횡간도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","27","","","-5.7","-1.8","0.5","73","6.1","2024-09-25 14:00:02"
"6599","완도 금당도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","28","","","-5.7","-0.9","0.5","81","5.9","2024-09-25 14:00:02"
"6600","완도 여서도","20240925","1400","20240925","1500","0","0","강수없음","70","적설없음","1","26","","","-5.9","-2.1","0.5","71","6.4","2024-09-25 14:00:02"
"6601","영광 안마도","20240925","1400","20240925","1500","0","0","강수없음","60","적설없음","1","27","","","0.3","-4","0.5","356","4","2024-09-25 14:00:02"
"6602","신안 우이도","20240925","1400","20240925","1500","0","0","강수없음","65","적설없음","1","28","","","1.8","-3.4","0.5","332","3.8","2024-09-25 14:00:02"
"6603","여수 손죽도","20240925","1400","20240925","1500","20","0","강수없음","70","적설없음","3","27","","","-5","-2.3","0.5","66","5.6","2024-09-25 14:00:02"
"6604","신안 반월박지도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","25","","","0.8","-1.1","0.5","324","1.4","2024-09-25 17:00:01"
"6605","고흥 연홍도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","26","","","-5.1","0","0.5","90","5.2","2024-09-25 17:00:01"
"6606","강진 가우도","20240925","1700","20240925","1800","60","1","1mm 미만","75","적설없음","4","26","","","-1.4","0.4","0","105","1.6","2024-09-25 17:00:01"
"6607","여수 낭도","20240925","1700","20240925","1800","30","0","강수없음","75","적설없음","4","26","","","-5.2","-0.1","0.5","89","5.3","2024-09-25 17:00:01"
"6608","진도 금호도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","25","","","-2.6","0.8","0","107","2.8","2024-09-25 17:00:01"
"6609","목포 외달도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","26","","","-0.8","0.8","0","132","1.2","2024-09-25 17:00:01"
"6610","여수 송도","20240925","1700","20240925","1800","30","0","강수없음","75","적설없음","4","26","","","-5.3","-0.2","0.5","88","5.4","2024-09-25 17:00:01"
"6611","신안 옥도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","26","","","-0.7","0.1","0.5","97","0.8","2024-09-25 17:00:01"
"6612","신안 기점소악도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","25","","","1.3","-2.1","0.5","328","2.5","2024-09-25 17:00:01"
"6613","보성 장도","20240925","1700","20240925","1800","0","0","강수없음","80","적설없음","1","25","","","-1.2","0.7","0","118","1.5","2024-09-25 17:00:01"
"6614","신안 선도","20240925","1700","20240925","1800","20","0","강수없음","70","적설없음","3","25","","","1.5","-2.4","0.5","328","2.8","2024-09-25 17:00:01"
"6615","무안 탄도","20240925","1700","20240925","1800","20","0","강수없음","70","적설없음","3","26","","","1.2","-0.4","0","288","1.3","2024-09-25 17:00:01"
"6616","신안 고이도","20240925","1700","20240925","1800","30","0","강수없음","75","적설없음","4","26","","","1","-0.5","0.5","297","1.1","2024-09-25 17:00:01"
"6617","여수 연도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","25","","","-5.4","-0.6","0.5","84","5.5","2024-09-25 17:00:01"
"6618","완도 생일도","20240925","1700","20240925","1800","0","0","강수없음","75","적설없음","1","24","","","-5.7","-0.6","0.5","84","5.8","2024-09-25 17:00:01"
"6619","완도 소안도","20240925","1700","20240925","1800","60","1","1mm 미만","80","적설없음","4","26","","","-5.9","-0.8","0.5","82","6.1","2024-09-25 17:00:01"
"6620","진도 관매도","20240925","1700","20240925","1800","0","0","강수없음","80","적설없음","1","25","","","-6","0.9","0.5","98","6.2","2024-09-25 17:00:01"
"6621","진도 대마도","20240925","1700","20240925","1800","0","0","강수없음","80","적설없음","1","25","","","-6","0.9","0.5","98","6.2","2024-09-25 17:00:01"
"6622","여수 대횡간도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","25","","","-5.4","-0.6","0.5","84","5.5","2024-09-25 17:00:01"
"6623","완도 금당도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","26","","","-5.3","-0.2","0.5","88","5.4","2024-09-25 17:00:01"
"6624","완도 여서도","20240925","1700","20240925","1800","60","1","1mm 미만","80","적설없음","4","25","","","-6","-0.9","0.5","82","6.2","2024-09-25 17:00:01"
"6625","영광 안마도","20240925","1700","20240925","1800","20","0","강수없음","70","적설없음","3","25","","","0.6","-2.2","0.5","345","2.3","2024-09-25 17:00:01"
"6626","신안 우이도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","25","","","-0.3","-0.2","0.5","63","0.4","2024-09-25 17:00:01"
"6627","여수 손죽도","20240925","1700","20240925","1800","20","0","강수없음","75","적설없음","3","27","","","-5.6","-0.7","0.5","83","5.7","2024-09-25 17:00:01"
"6628","신안 반월박지도","20240925","2000","20240925","2100","20","0","강수없음","85","적설없음","3","23","","","-3","0.7","0.5","103","3.2","2024-09-25 20:00:01"
"6629","고흥 연홍도","20240925","2000","20240925","2100","0","0","강수없음","85","적설없음","1","24","","","-4.9","-0.4","0.5","85","5","2024-09-25 20:00:01"
"6630","강진 가우도","20240925","2000","20240925","2100","0","0","강수없음","90","적설없음","1","23","","","-0.9","-0.1","0","84","1","2024-09-25 20:00:01"
"6631","여수 낭도","20240925","2000","20240925","2100","20","0","강수없음","75","적설없음","3","25","","","-5.1","-0.9","0.5","80","5.3","2024-09-25 20:00:01"
"6632","진도 금호도","20240925","2000","20240925","2100","0","0","강수없음","90","적설없음","1","23","","","-2.7","0.4","0","98","2.8","2024-09-25 20:00:01"
"6633","목포 외달도","20240925","2000","20240925","2100","0","0","강수없음","90","적설없음","1","22","","","-0.9","0.3","0","107","1","2024-09-25 20:00:01"
"6634","여수 송도","20240925","2000","20240925","2100","20","0","강수없음","80","적설없음","3","25","","","-5.3","-1","0.5","80","5.5","2024-09-25 20:00:01"
"6635","신안 옥도","20240925","2000","20240925","2100","0","0","강수없음","85","적설없음","1","24","","","-3.7","0.9","0.5","103","3.9","2024-09-25 20:00:01"
"6636","신안 기점소악도","20240925","2000","20240925","2100","20","0","강수없음","85","적설없음","3","23","","","-1.4","-0.1","0.5","86","1.5","2024-09-25 20:00:01"
"6637","보성 장도","20240925","2000","20240925","2100","0","0","강수없음","90","적설없음","1","22","","","-1.1","0","0","90","1.2","2024-09-25 20:00:01"
"6638","신안 선도","20240925","2000","20240925","2100","20","0","강수없음","85","적설없음","3","24","","","-1.3","0.1","0.5","94","1.4","2024-09-25 20:00:01"
"6639","무안 탄도","20240925","2000","20240925","2100","0","0","강수없음","85","적설없음","1","24","","","-0.8","0.9","0","135","1.3","2024-09-25 20:00:01"
"6640","신안 고이도","20240925","2000","20240925","2100","0","0","강수없음","90","적설없음","1","23","","","-1.4","0.7","0.5","115","1.7","2024-09-25 20:00:01"
"6641","여수 연도","20240925","2000","20240925","2100","20","0","강수없음","80","적설없음","3","24","","","-5.6","-1.2","0.5","78","5.8","2024-09-25 20:00:01"
"6642","완도 생일도","20240925","2000","20240925","2100","0","0","강수없음","85","적설없음","1","23","","","-5.3","-0.6","0.5","84","5.4","2024-09-25 20:00:01"
"6643","완도 소안도","20240925","2000","20240925","2100","20","0","강수없음","85","적설없음","3","24","","","-5.2","-0.7","0.5","82","5.3","2024-09-25 20:00:01"
"6644","진도 관매도","20240925","2000","20240925","2100","0","0","강수없음","85","적설없음","1","24","","","-6.3","0.4","0.5","94","6.4","2024-09-25 20:00:01"
"6645","진도 대마도","20240925","2000","20240925","2100","0","0","강수없음","85","적설없음","1","24","","","-6.3","0.4","0.5","94","6.4","2024-09-25 20:00:01"
"6646","여수 대횡간도","20240925","2000","20240925","2100","20","0","강수없음","80","적설없음","3","24","","","-5.6","-1.2","0.5","78","5.8","2024-09-25 20:00:01"
"6647","완도 금당도","20240925","2000","20240925","2100","0","0","강수없음","80","적설없음","1","24","","","-5.1","-0.5","0.5","85","5.2","2024-09-25 20:00:01"
"6648","완도 여서도","20240925","2000","20240925","2100","20","0","강수없음","85","적설없음","3","23","","","-5.5","-0.7","0.5","83","5.6","2024-09-25 20:00:01"
"6649","영광 안마도","20240925","2000","20240925","2100","20","0","강수없음","75","적설없음","3","24","","","-1","-0.9","0.5","51","1.4","2024-09-25 20:00:01"
"6650","신안 우이도","20240925","2000","20240925","2100","20","0","강수없음","80","적설없음","3","24","","","-2.7","0.3","0.5","96","2.8","2024-09-25 20:00:01"
"6651","여수 손죽도","20240925","2000","20240925","2100","20","0","강수없음","75","적설없음","3","26","","","-5.4","-1.3","0.5","77","5.7","2024-09-25 20:00:01"
"6652","신안 반월박지도","20240925","2300","20240926","0000","0","0","강수없음","90","적설없음","1","22","","","-2.7","0.9","0.5","108","2.9","2024-09-25 23:00:01"
"6653","고흥 연홍도","20240925","2300","20240926","0000","20","0","강수없음","85","적설없음","3","24","","","-4.9","-0.7","0.5","82","5","2024-09-25 23:00:01"
"6654","강진 가우도","20240925","2300","20240926","0000","0","0","강수없음","95","적설없음","1","22","","","-0.9","-0.3","0","73","1","2024-09-25 23:00:01"
"6655","여수 낭도","20240925","2300","20240926","0000","60","1","1mm 미만","80","적설없음","4","24","","","-4.7","-1.8","0.5","69","5.1","2024-09-25 23:00:01"
"6656","진도 금호도","20240925","2300","20240926","0000","0","0","강수없음","100","적설없음","1","21","","","-1.9","-0.2","0","84","2","2024-09-25 23:00:01"
"6657","목포 외달도","20240925","2300","20240926","0000","0","0","강수없음","95","적설없음","1","21","","","-1","0","0","90","1.1","2024-09-25 23:00:01"
"6658","여수 송도","20240925","2300","20240926","0000","60","1","1mm 미만","80","적설없음","4","24","","","-4.8","-1.9","0.5","69","5.3","2024-09-25 23:00:01"
"6659","신안 옥도","20240925","2300","20240926","0000","0","0","강수없음","90","적설없음","1","23","","","-2.9","0.5","0.5","99","3","2024-09-25 23:00:01"
"6660","신안 기점소악도","20240925","2300","20240926","0000","0","0","강수없음","90","적설없음","1","22","","","-1.5","1.8","0.5","138","2.4","2024-09-25 23:00:01"
"6661","보성 장도","20240925","2300","20240926","0000","0","0","강수없음","95","적설없음","1","21","","","-0.9","-0.7","0","55","1.2","2024-09-25 23:00:01"
"6662","신안 선도","20240925","2300","20240926","0000","0","0","강수없음","90","적설없음","1","22","","","-1.5","2","0.5","141","2.6","2024-09-25 23:00:01"
"6663","무안 탄도","20240925","2300","20240926","0000","0","0","강수없음","95","적설없음","1","22","","","-1.2","0.9","0","125","1.6","2024-09-25 23:00:01"
"6664","신안 고이도","20240925","2300","20240926","0000","0","0","강수없음","95","적설없음","1","22","","","-1.9","1","0.5","117","2.2","2024-09-25 23:00:01"
"6665","여수 연도","20240925","2300","20240926","0000","20","0","강수없음","80","적설없음","3","24","","","-4.9","-1.6","0.5","72","5.2","2024-09-25 23:00:01"
"6666","완도 생일도","20240925","2300","20240926","0000","20","0","강수없음","85","적설없음","3","23","","","-5.4","-0.6","0.5","84","5.5","2024-09-25 23:00:01"
"6667","완도 소안도","20240925","2300","20240926","0000","60","1","1mm 미만","90","적설없음","4","23","","","-5","-0.4","0.5","86","5.1","2024-09-25 23:00:01"
"6668","진도 관매도","20240925","2300","20240926","0000","0","0","강수없음","90","적설없음","1","24","","","-4.8","0.3","0.5","94","4.9","2024-09-25 23:00:01"
"6669","진도 대마도","20240925","2300","20240926","0000","0","0","강수없음","90","적설없음","1","24","","","-4.8","0.3","0.5","94","4.9","2024-09-25 23:00:01"
"6670","여수 대횡간도","20240925","2300","20240926","0000","20","0","강수없음","80","적설없음","3","24","","","-4.9","-1.6","0.5","72","5.2","2024-09-25 23:00:01"
"6671","완도 금당도","20240925","2300","20240926","0000","20","0","강수없음","85","적설없음","3","24","","","-5.1","-0.6","0.5","83","5.2","2024-09-25 23:00:01"
"6672","완도 여서도","20240925","2300","20240926","0000","20","0","강수없음","90","적설없음","3","23","","","-5.5","-0.5","0.5","85","5.6","2024-09-25 23:00:01"
"6673","영광 안마도","20240925","2300","20240926","0000","20","0","강수없음","80","적설없음","3","24","","","-0.5","0.9","0.5","146","1.1","2024-09-25 23:00:01"
"6674","신안 우이도","20240925","2300","20240926","0000","0","0","강수없음","85","적설없음","1","23","","","-2.7","0.8","0.5","106","2.9","2024-09-25 23:00:01"
"6675","여수 손죽도","20240925","2300","20240926","0000","20","0","강수없음","80","적설없음","3","26","","","-5.1","-1.3","0.5","76","5.4","2024-09-25 23:00:01"
"6676","신안 반월박지도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","22","","","-2.1","-0.9","0.5","68","2.4","2024-09-26 02:00:02"
"6677","고흥 연홍도","20240926","0200","20240926","0300","30","0","강수없음","85","적설없음","4","24","","","-4.4","-2.2","0.5","64","5","2024-09-26 02:00:02"
"6678","강진 가우도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","21","","","-1.4","-0.9","0","59","1.7","2024-09-26 02:00:02"
"6679","여수 낭도","20240926","0200","20240926","0300","0","0","강수없음","85","적설없음","1","24","","","-4.4","-3.4","0.5","53","5.6","2024-09-26 02:00:02"
"6680","진도 금호도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","21","","","-1.4","-1.2","0","51","1.9","2024-09-26 02:00:02"
"6681","목포 외달도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","20","","","-1.4","-0.6","0","68","1.6","2024-09-26 02:00:02"
"6682","여수 송도","20240926","0200","20240926","0300","0","0","강수없음","85","적설없음","1","24","","","-4.5","-3.5","0.5","53","5.8","2024-09-26 02:00:02"
"6683","신안 옥도","20240926","0200","20240926","0300","0","0","강수없음","90","적설없음","1","23","","","-2.1","-1.1","0.5","63","2.5","2024-09-26 02:00:02"
"6684","신안 기점소악도","20240926","0200","20240926","0300","20","0","강수없음","90","적설없음","3","22","","","-1.6","0.4","0.5","103","1.7","2024-09-26 02:00:02"
"6685","보성 장도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","20","","","-0.6","-1.2","0","30","1.4","2024-09-26 02:00:02"
"6686","신안 선도","20240926","0200","20240926","0300","20","0","강수없음","90","적설없음","3","22","","","-1.7","0.6","0.5","108","1.9","2024-09-26 02:00:02"
"6687","무안 탄도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","21","","","-1.5","-0.1","0","86","1.6","2024-09-26 02:00:02"
"6688","신안 고이도","20240926","0200","20240926","0300","0","0","강수없음","95","적설없음","1","21","","","-1.6","-0.5","0.5","74","1.8","2024-09-26 02:00:02"
"6689","여수 연도","20240926","0200","20240926","0300","20","0","강수없음","85","적설없음","3","23","","","-4.8","-2.9","0.5","59","5.7","2024-09-26 02:00:02"
"6690","완도 생일도","20240926","0200","20240926","0300","20","0","강수없음","85","적설없음","3","23","","","-4.8","-1.8","0.5","70","5.2","2024-09-26 02:00:02"
"6691","완도 소안도","20240926","0200","20240926","0300","20","0","강수없음","90","적설없음","3","23","","","-3.9","-1.3","0.5","72","4.2","2024-09-26 02:00:02"
"6692","진도 관매도","20240926","0200","20240926","0300","0","0","강수없음","90","적설없음","1","23","","","-3","-1.3","0.5","67","3.4","2024-09-26 02:00:02"
"6693","진도 대마도","20240926","0200","20240926","0300","0","0","강수없음","90","적설없음","1","23","","","-3","-1.3","0.5","67","3.4","2024-09-26 02:00:02"
"6694","여수 대횡간도","20240926","0200","20240926","0300","20","0","강수없음","85","적설없음","3","23","","","-4.8","-2.9","0.5","59","5.7","2024-09-26 02:00:02"
"6695","완도 금당도","20240926","0200","20240926","0300","30","0","강수없음","85","적설없음","4","24","","","-4.5","-2","0.5","67","5","2024-09-26 02:00:02"
"6696","완도 여서도","20240926","0200","20240926","0300","20","0","강수없음","85","적설없음","3","23","","","-4.7","-1.5","0.5","73","5","2024-09-26 02:00:02"
"6697","영광 안마도","20240926","0200","20240926","0300","20","0","강수없음","80","적설없음","3","24","","","-0.7","0.8","0.5","135","1.1","2024-09-26 02:00:02"
"6698","신안 우이도","20240926","0200","20240926","0300","0","0","강수없음","90","적설없음","1","23","","","-2","-0.7","0.5","72","2.2","2024-09-26 02:00:02"
"6699","여수 손죽도","20240926","0200","20240926","0300","20","0","강수없음","80","적설없음","3","26","","","-4.5","-1.9","0.5","68","5","2024-09-26 02:00:02"
"6700","신안 반월박지도","20240926","0500","20240926","0600","0","0","강수없음","90","적설없음","1","21","","","-2.5","1","0.5","111","2.8","2024-09-26 05:00:01"
"6701","고흥 연홍도","20240926","0500","20240926","0600","0","0","강수없음","85","적설없음","1","23","","","-3.9","-2","0.5","63","4.5","2024-09-26 05:00:01"
"6702","강진 가우도","20240926","0500","20240926","0600","0","0","강수없음","95","적설없음","1","20","","","-1.3","-0.8","0","60","1.6","2024-09-26 05:00:01"
"6703","여수 낭도","20240926","0500","20240926","0600","0","0","강수없음","80","적설없음","1","23","","","-4.3","-3","0.5","56","5.3","2024-09-26 05:00:01"
"6704","진도 금호도","20240926","0500","20240926","0600","0","0","강수없음","95","적설없음","1","20","","","-1.9","-0.6","0","73","2.1","2024-09-26 05:00:01"
"6705","목포 외달도","20240926","0500","20240926","0600","0","0","강수없음","95","적설없음","1","19","","","-1.3","0","0","90","1.4","2024-09-26 05:00:01"
"6706","여수 송도","20240926","0500","20240926","0600","0","0","강수없음","85","적설없음","1","23","","","-4.4","-3.1","0.5","55","5.5","2024-09-26 05:00:01"
"6707","신안 옥도","20240926","0500","20240926","0600","0","0","강수없음","85","적설없음","1","22","","","-2.6","0.3","0.5","96","2.7","2024-09-26 05:00:01"
"6708","신안 기점소악도","20240926","0500","20240926","0600","0","0","강수없음","90","적설없음","1","22","","","-1.6","2","0.5","140","2.6","2024-09-26 05:00:01"
"6709","보성 장도","20240926","0500","20240926","0600","0","0","강수없음","95","적설없음","1","19","","","-0.7","-0.9","0","42","1.2","2024-09-26 05:00:01"
"6710","신안 선도","20240926","0500","20240926","0600","20","0","강수없음","90","적설없음","3","22","","","-1.7","2.2","0.5","141","2.8","2024-09-26 05:00:01"
"6711","무안 탄도","20240926","0500","20240926","0600","20","0","강수없음","95","적설없음","3","20","","","-1.5","1.2","0","127","2","2024-09-26 05:00:01"
"6712","신안 고이도","20240926","0500","20240926","0600","0","0","강수없음","95","적설없음","1","21","","","-1.9","1","0.5","117","2.2","2024-09-26 05:00:01"
"6713","여수 연도","20240926","0500","20240926","0600","30","0","강수없음","85","적설없음","4","23","","","-4.7","-2.7","0.5","61","5.5","2024-09-26 05:00:01"
"6714","완도 생일도","20240926","0500","20240926","0600","20","0","강수없음","85","적설없음","3","22","","","-4.4","-1.8","0.5","68","4.8","2024-09-26 05:00:01"
"6715","완도 소안도","20240926","0500","20240926","0600","20","0","강수없음","90","적설없음","3","23","","","-3.9","-1.4","0.5","71","4.2","2024-09-26 05:00:01"
"6716","진도 관매도","20240926","0500","20240926","0600","0","0","강수없음","85","적설없음","1","24","","","-3.7","-0.7","0.5","80","3.9","2024-09-26 05:00:01"
"6717","진도 대마도","20240926","0500","20240926","0600","0","0","강수없음","85","적설없음","1","24","","","-3.7","-0.7","0.5","80","3.9","2024-09-26 05:00:01"
"6718","여수 대횡간도","20240926","0500","20240926","0600","30","0","강수없음","85","적설없음","4","23","","","-4.7","-2.7","0.5","61","5.5","2024-09-26 05:00:01"
"6719","완도 금당도","20240926","0500","20240926","0600","30","0","강수없음","85","적설없음","4","23","","","-4.1","-2","0.5","65","4.7","2024-09-26 05:00:01"
"6720","완도 여서도","20240926","0500","20240926","0600","20","0","강수없음","85","적설없음","3","23","","","-4.5","-1.6","0.5","71","4.9","2024-09-26 05:00:01"
"6721","영광 안마도","20240926","0500","20240926","0600","20","0","강수없음","80","적설없음","3","23","","","-0.4","2.1","0.5","167","2.2","2024-09-26 05:00:01"
"6722","신안 우이도","20240926","0500","20240926","0600","0","0","강수없음","85","적설없음","1","22","","","-2.2","0.8","0.5","109","2.4","2024-09-26 05:00:01"
"6723","여수 손죽도","20240926","0500","20240926","0600","20","0","강수없음","80","적설없음","3","25","","","-4.7","-2","0.5","67","5.2","2024-09-26 05:00:01"
"6724","여수 연도","20240926","0800","20240926","0900","20","0","강수없음","70","적설없음","3","25","","","-4.1","-2.5","0.5","59","4.9","2024-09-26 08:00:02"
"6725","진도 관매도","20240926","0800","20240926","0900","0","0","강수없음","80","적설없음","1","25","","","-3.5","-1.1","0.5","73","3.8","2024-09-26 08:00:02"
"6726","진도 대마도","20240926","0800","20240926","0900","0","0","강수없음","80","적설없음","1","25","","","-3.5","-1.1","0.5","73","3.8","2024-09-26 08:00:02"
"6727","완도 여서도","20240926","0800","20240926","0900","20","0","강수없음","80","적설없음","3","25","","","-4.2","-2.2","0.5","63","4.8","2024-09-26 08:00:02"
"6728","영광 안마도","20240926","0800","20240926","0900","20","0","강수없음","75","적설없음","3","25","","","-0.6","2.4","0.5","164","2.5","2024-09-26 08:00:02"
"6729","신안 우이도","20240926","0800","20240926","0900","20","0","강수없음","75","적설없음","3","25","","","-2.3","1.2","0.5","117","2.7","2024-09-26 08:00:02"
"6730","여수 손죽도","20240926","0800","20240926","0900","30","0","강수없음","70","적설없음","4","26","","","-4","-1.9","0.5","65","4.5","2024-09-26 08:00:02"
"6731","신안 반월박지도","20240926","1100","20240926","1200","0","0","강수없음","70","적설없음","1","27","","","0.8","0.1","0.5","263","0.8","2024-09-26 11:00:01"
"6732","고흥 연홍도","20240926","1100","20240926","1200","0","0","강수없음","65","적설없음","1","27","","","-2.7","-0.6","0.5","78","2.9","2024-09-26 11:00:01"
"6733","강진 가우도","20240926","1100","20240926","1200","0","0","강수없음","65","적설없음","1","29","","","-1.1","-0.1","0","85","1.2","2024-09-26 11:00:01"
